date, pm25, pm10, o3, no2, so2, co
7/6/2025,24, , , , , 
7/5/2025,24,37,46,24,2,4
7/4/2025,22,29,40,16,2,3
7/3/2025,30,21,35,18,1,4
7/2/2025,40,30,42,17,2,3
7/1/2025,30,14,29,22,3,6
6/30/2025,36,31,28,21,2,4
6/29/2025,35,32,29,25,2,7
6/28/2025, ,65,31,14,1,5
6/20/2025,19, , , , , 
6/19/2025,25,51,31, ,2,5
6/18/2025,27,20,35, ,2,5
6/17/2025,42,37,39, ,1,5
6/16/2025,47,23,28, ,2,7
6/15/2025,45,12,29, ,2,8
6/14/2025,43,23,35, ,2,5
6/13/2025,59,19,28, ,1,6
6/12/2025,44,23,25, ,2,8
6/11/2025,61,19,25, ,2,8
6/10/2025,63,26,42, ,2,7
6/9/2025,54,20,27, ,2,8
6/8/2025,36,28,28, ,3,7
6/7/2025,23,26,32, ,3,5
6/6/2025,47,29,33, ,2,4
6/5/2025,53,28,22, ,2,8
6/4/2025, ,23,13, ,2,8
6/3/2025, ,24, , , , 
6/2/2025,20,34, , , , 
6/1/2025,33,31,34, ,2,3
5/31/2025,47,25,31, ,2,4
5/30/2025,47,26,27, ,2,6
5/29/2025,33,33,30, ,2,6
5/28/2025,40,30,29, ,2,5
5/27/2025,52,33,28, ,2,5
5/26/2025,48,24,34, ,2,6
5/25/2025,40,18,25, ,2,6
5/24/2025,35,18,31, ,2,4
5/23/2025,28,25,31, ,2,4
5/22/2025,40,23,31, ,2,3
5/21/2025,44,28,27, ,2,5
5/20/2025,71,24,26, ,2,5
5/19/2025,60,31,35, ,3,11
5/18/2025,27,28,21, ,2,12
5/17/2025,34,12,30, ,1,6
5/16/2025,41,14,21, ,1,8
5/15/2025,60,20,16, ,1,9
5/14/2025,60,21,21, ,2,9
5/13/2025,47,24,42, ,2,7
5/12/2025,37,21,27, ,2,8
5/11/2025,18,27,31, ,2,7
5/10/2025,24,15,30, ,1,4
5/9/2025,59,24,33, ,1,5
5/8/2025,65,29,37, ,2,10
5/7/2025,59,30,18, ,3,10
5/6/2025,70,25,36, ,3,8
5/5/2025,45,30,26, ,3,11
5/4/2025,47,17,21, ,2,9
5/3/2025,50,17,45, ,2,6
5/2/2025,53,22,31, ,2,7
5/1/2025,56,23,42, ,2,7
